review_text
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"The app keeps crashing during peak hours, we are evaluating alternatives"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
"Support tickets go unanswered for days, very frustrating"
Billing is confusing and we were double charged twice
Billing is confusing and we were double charged twice
Billing is confusing and we were double charged twice
Billing is confusing and we were double charged twice
Billing is confusing and we were double charged twice
Billing is confusing and we were double charged twice
Billing is confusing and we were double charged twice
Billing is confusing and we were double charged twice
Billing is confusing and we were double charged twice
"Does the job, nothing special"
"Does the job, nothing special"
"Does the job, nothing special"
"Does the job, nothing special"
"Does the job, nothing special"
"Does the job, nothing special"
"Does the job, nothing special"
"Does the job, nothing special"
Onboarding was smooth and the dashboard is clean
Onboarding was smooth and the dashboard is clean
Onboarding was smooth and the dashboard is clean
Onboarding was smooth and the dashboard is clean
Onboarding was smooth and the dashboard is clean
Onboarding was smooth and the dashboard is clean
